,NTAName,LI - Not Losing Low Income Households,MHI - At Risk of Exclusion,MHI - Not Losing Low Income Households,LI - At Risk of Gentrification and/or Displacement,MHI - Advanced Exclusion,MHI - Advanced Gentrification,MHI - Ongoing Exclusion,LI - Ongoing Gentrification and/or Displacement,total
103,Mariner's Harbor-Arlington-Port Ivory-Graniteville,0.357142857143,0.0,0.07142857142860001,0.214285714286,0.07142857142860001,0.07142857142860001,0.07142857142860001,0.14285714285700002,14.0
104,Maspeth,0.321428571429,0.0,0.14285714285700002,0.107142857143,0.07142857142860001,0.107142857143,0.0,0.25,28.0
105,Melrose South-Mott Haven North,0.0952380952381,0.0,0.0,0.380952380952,0.0,0.0952380952381,0.0,0.428571428571,21.0
106,Middle Village,0.294117647059,0.0294117647059,0.20588235294100002,0.0,0.235294117647,0.117647058824,0.0294117647059,0.0882352941176,34.0
107,Midtown-Midtown South,0.0,0.157894736842,0.0789473684211,0.026315789473700002,0.39473684210500004,0.184210526316,0.026315789473700002,0.131578947368,38.0
108,Midwood,0.44117647058799997,0.176470588235,0.14705882352900002,0.0588235294118,0.117647058824,0.0,0.0294117647059,0.0294117647059,34.0
109,Morningside Heights,0.210526315789,0.0,0.052631578947400004,0.052631578947400004,0.105263157895,0.105263157895,0.0,0.47368421052599996,19.0
110,Morrisania-Melrose,0.17391304347800002,0.0,0.0,0.434782608696,0.0,0.0434782608696,0.0,0.34782608695699996,23.0
111,Mott Haven-Port Morris,0.23076923076900002,0.0,0.0769230769231,0.307692307692,0.0,0.153846153846,0.0,0.23076923076900002,26.0
112,Mount Hope,0.0769230769231,0.0,0.0384615384615,0.269230769231,0.0,0.0384615384615,0.0,0.576923076923,26.0
113,Murray Hill,0.48148148148100006,0.037037037037,0.111111111111,0.185185185185,0.07407407407410001,0.0,0.111111111111,0.0,27.0
114,Murray Hill-Kips Bay,0.0,0.166666666667,0.0555555555556,0.0,0.5,0.111111111111,0.0555555555556,0.111111111111,18.0
115,New Brighton-Silver Lake,0.470588235294,0.0,0.117647058824,0.0588235294118,0.176470588235,0.0588235294118,0.0588235294118,0.0588235294118,17.0
116,New Dorp-Midland Beach,0.4,0.0,0.1,0.0,0.3,0.0,0.2,0.0,10.0
117,New Springville-Bloomfield-Travis,0.357142857143,0.035714285714300006,0.28571428571400004,0.0,0.17857142857099997,0.0,0.14285714285700002,0.0,28.0
118,North Corona,0.15,0.0,0.05,0.7,0.0,0.0,0.0,0.1,20.0
119,North Riverdale-Fieldston-Riverdale,0.176470588235,0.117647058824,0.176470588235,0.0,0.529411764706,0.0,0.0,0.0,17.0
